央视频道,#genre#
CCTV-1 综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-2 财经,https://stream1.freetv.fun/cctv2-42.m3u8
CCTV-3 综艺,https://stream1.freetv.fun/cctv3-3.m3u8
CCTV-4 中文国际,https://stream1.freetv.fun/cctv4-19.ctv
CCTV-5 体育,https://stream1.freetv.fun/cctv5-71.m3u8
CCTV-5+ 体育赛事,https://stream1.freetv.fun/cctv5-plus-14.m3u8
CCTV-6 电影,https://stream1.freetv.fun/cctv-6gao-qing-4.m3u8
CCTV-7 国防军事,https://stream1.freetv.fun/cctv7-18.ctv
CCTV-8 电视剧,https://stream1.freetv.fun/cctv-8gao-qing-1.m3u8
CCTV-9 纪录,https://stream1.freetv.fun/cctv-9gao-qing-2.m3u8
CCTV-10 科教,https://stream1.freetv.fun/cctv10-56.ctv
CCTV-11 戏曲,https://stream1.freetv.fun/cctv11-70.ctv
CCTV-12 社会与法,https://stream1.freetv.fun/cctv12-57.m3u8
CCTV-13 新闻,https://stream1.freetv.fun/cctv13-58.m3u8
CCTV-14 少儿,https://stream1.freetv.fun/cctv14-59.m3u8
CCTV-15 音乐,https://stream1.freetv.fun/cctv15-60.m3u8
CCTV-16 奥林匹克,https://stream1.freetv.fun/cctv16-61.m3u8
CCTV-17 农业农村,https://stream1.freetv.fun/cctv17-62.m3u8
卫视频道,#genre#
湖南卫视,https://stream1.freetv.fun/hunan-1.m3u8
浙江卫视,https://stream1.freetv.fun/zhejiang-1.m3u8
江苏卫视,https://stream1.freetv.fun/jiangsu-1.m3u8
东方卫视,https://stream1.freetv.fun/dongfang-1.m3u8
北京卫视,https://stream1.freetv.fun/beijing-1.m3u8
广东卫视,https://stream1.freetv.fun/guangdong-1.m3u8
深圳卫视,https://stream1.freetv.fun/shenzhen-1.m3u8
山东卫视,https://stream1.freetv.fun/shandong-1.m3u8
四川卫视,https://stream1.freetv.fun/sichuan-1.m3u8
湖北卫视,https://stream1.freetv.fun/hubei-1.m3u8
天津卫视,https://stream1.freetv.fun/tianjin-1.m3u8
重庆卫视,https://stream1.freetv.fun/chongqing-1.m3u8
河南卫视,https://stream1.freetv.fun/henan-1.m3u8
河北卫视,https://stream1.freetv.fun/hebei-1.m3u8
福建卫视,https://stream1.freetv.fun/fujian-1.m3u8
港澳台频道,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰电影,https://stream1.freetv.fun/feng-huang-dian-ying-2.ctv
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
明珠台,https://mgev.188766.xyz/?migutoken=5a4d89aab5833a679e8a3af1c6aa172d&id=hk_mzt&type=dy
TVB无线新闻,https://stream1.freetv.fun/wu-xian-xin-wen-12.ctv
TVBS,https://stream1.freetv.fun/tvb1zong-he-1.m3u8
TVBS新闻台,http://s1.an94tv.cfd/taiwan/tvbs-1/AKTV.m3u8
澳视澳门,https://migu.188766.xyz/?migutoken=d69c02a88c64969990eb0c4782b2428b&id=hk_asam&type=dy
澳亚卫视,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
美国频道,#genre#
CNN,https://iptv-org.github.io/iptv/countries/us.m3u
Fox News,https://iptv-org.github.io/iptv/countries/us.m3u
MSNBC,https://iptv-org.github.io/iptv/countries/us.m3u
CNBC,https://iptv-org.github.io/iptv/countries/us.m3u
Bloomberg,https://iptv-org.github.io/iptv/countries/us.m3u
ESPN,https://iptv-org.github.io/iptv/countries/us.m3u
Discovery,https://iptv-org.github.io/iptv/countries/us.m3u
National Geographic,https://iptv-org.github.io/iptv/countries/us.m3u
History Channel,https://iptv-org.github.io/iptv/countries/us.m3u
Disney Channel,https://iptv-org.github.io/iptv/countries/us.m3u
英国频道,#genre#
BBC One,https://iptv-org.github.io/iptv/countries/gb.m3u
BBC Two,https://iptv-org.github.io/iptv/countries/gb.m3u
BBC News,https://iptv-org.github.io/iptv/countries/gb.m3u
